sheet,row,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12
API 명세 맵핑,9,,DELETE,/api/activity/{id},명세,O,API어댑터,,,,,,
API 명세 맵핑,10,◆ agent,,,,,,,,,,,
API 명세 맵핑,11,,GET,/api/agent/suggestions,명세,O,화면연결,,,,,,
API 명세 맵핑,12,,PATCH,/api/agent/suggestions/{id},명세,O,화면연결,,,,,,
API 명세 맵핑,13,◆ agent-jobs,,,,,,,,,,,
API 명세 맵핑,14,,GET,/api/agent-jobs/{id},명세,O,API어댑터,,,,,,
API 명세 맵핑,15,,GET,/api/agent-jobs/{id}/events,명세,O,API어댑터,,,,,,
API 명세 맵핑,16,◆ ai(agent),,,,,,,,,,,
API 명세 맵핑,17,,POST,/api/ai/analyze-resource,명세,O,API어댑터,,,,,,
API 명세 맵핑,18,,POST,/api/ai/draft-document,명세,O,API어댑터,,,,,,
API 명세 맵핑,19,,POST,/api/ai/generate-questions,명세,O,API어댑터,,,,,,
API 명세 맵핑,20,,POST,/api/ai/generate-requirements,명세,O,API어댑터,,,,,,
API 명세 맵핑,21,,POST,/api/ai/generate-tasks,명세,O,API어댑터,,,,,,
API 명세 맵핑,22,,POST,/api/ai/generate-wbs,명세,O,API어댑터,,,,,,
API 명세 맵핑,23,,POST,/api/ai/review-contract-documents,명세,O,API어댑터,,,,,,
API 명세 맵핑,24,,POST,/api/ai/search-resource,명세,O,API어댑터,,,,,,
API 명세 맵핑,25,,POST,/api/ai/summarize-day,명세,O,API어댑터,,,,,,
API 명세 맵핑,26,◆ auth,,,,,,,,,,,
API 명세 맵핑,27,,GET,/api/auth/google/authorize,명세,O,API어댑터,,,,,,
API 명세 맵핑,28,,POST,/api/auth/google/callback,명세,O,API어댑터,,,,,,
API 명세 맵핑,29,,POST,/api/auth/logout,명세,O,API어댑터,,,,,,
API 명세 맵핑,30,,POST,/api/auth/refresh,명세,O,API어댑터,,,,,,
API 명세 맵핑,31,◆ calendar,,,,,,,,,,,
API 명세 맵핑,32,,GET,/api/calendar/events,추가구현,O,API어댑터,,,,,,
API 명세 맵핑,33,,POST,/api/calendar/events,추가구현,O,API어댑터,,,,,,
API 명세 맵핑,34,,DELETE,/api/calendar/events/{id},추가구현,O,API어댑터,,,,,,
API 명세 맵핑,35,,PATCH,/api/calendar/events/{id},추가구현,O,API어댑터,,,,,,
API 명세 맵핑,36,,POST,/api/calendar/google/callback,추가구현,O,API어댑터,,,,,,
API 명세 맵핑,37,,GET,/api/calendar/google/connect,추가구현,O,화면연결,,,,,,
API 명세 맵핑,38,,DELETE,/api/calendar/google/connection,추가구현,O,API어댑터,,,,,,
API 명세 맵핑,39,,GET,/api/calendar/google/connection,추가구현,O,API어댑터,,,,,,
API 명세 맵핑,40,,POST,/api/calendar/push-unsynced,추가구현,O,API어댑터,,,,,,
API 명세 맵핑,41,,POST,/api/calendar/sync,추가구현,O,API어댑터,,,,,,
API 명세 맵핑,42,◆ chat,,,,,,,,,,,
API 명세 맵핑,43,,POST,/api/chat/direct-rooms,명세,O,화면연결,,,,,,
API 명세 맵핑,44,,GET,/api/chat/rooms,명세,O,화면연결,,,,,,
API 명세 맵핑,45,,GET,/api/chat/rooms/{id}/messages,명세,O,화면연결,,,,,,
API 명세 맵핑,46,,POST,/api/chat/rooms/{id}/messages,명세,O,화면연결,,,,,,
API 명세 맵핑,47,,PATCH,/api/chat/rooms/{id}/read,명세,O,화면연결,,,,,,
API 명세 맵핑,48,◆ daily-summaries,,,,,,,,,,,
API 명세 맵핑,49,,GET,/api/daily-summaries,명세,O,API어댑터,,,,,,
API 명세 맵핑,50,,PATCH,/api/daily-summaries/{id},명세,O,API어댑터,,,,,,
API 명세 맵핑,51,◆ dashboard,,,,,,,,,,,
API 명세 맵핑,52,,GET,/api/dashboard/tasks,명세,O,화면연결,,,,,,
API 명세 맵핑,53,,GET,/api/dashboard/work,명세,O,화면연결,,,,,,
API 명세 맵핑,54,◆ friend-requests,,,,,,,,,,,
API 명세 맵핑,55,,GET,/api/friend-requests,명세,O,화면연결,,,,,,
API 명세 맵핑,56,,POST,/api/friend-requests,명세,O,화면연결,,,,,,
API 명세 맵핑,57,,PATCH,/api/friend-requests/{id}/accept,명세,O,화면연결,,,,,,
API 명세 맵핑,58,,PATCH,/api/friend-requests/{id}/reject,명세,O,화면연결,,,,,,
API 명세 맵핑,59,◆ friends,,,,,,,,,,,
API 명세 맵핑,60,,GET,/api/friends,명세,O,화면연결,,,,,,
API 명세 맵핑,61,,GET,/api/friends/search,명세,O,화면연결,,,,,,
API 명세 맵핑,62,,DELETE,/api/friends/{id},명세,O,API어댑터,,,,,,
API 명세 맵핑,63,◆ generated-documents,,,,,,,,,,,
API 명세 맵핑,64,,GET,/api/generated-documents,추가구현,O,API어댑터,,,,,,
API 명세 맵핑,65,,GET,/api/generated-documents/{id},추가구현,O,API어댑터,,,,,,
API 명세 맵핑,66,◆ invitations,,,,,,,,,,,
API 명세 맵핑,67,,PATCH,/api/invitations/{id}/accept,명세,O,API어댑터,,,,,,
API 명세 맵핑,68,,PATCH,/api/invitations/{id}/cancel,명세,O,API어댑터,,,,,,
API 명세 맵핑,69,◆ invite-links,,,,,,,,,,,
API 명세 맵핑,70,,GET,/api/invite-links/{id},추가구현,X,미연결,,,,,,
API 명세 맵핑,71,,PATCH,/api/invite-links/{id}/accept,추가구현,X,미연결,,,,,,
API 명세 맵핑,72,◆ me,,,,,,,,,,,
API 명세 맵핑,73,,GET,/api/me,명세,O,화면연결,,,,,,
API 명세 맵핑,74,,PATCH,/api/me,명세,O,화면연결,,,,,,
API 명세 맵핑,75,,GET,/api/me/notification-preferences,명세,O,화면연결,,,,,,
API 명세 맵핑,76,,PATCH,/api/me/notification-preferences,명세,O,화면연결,,,,,,
API 명세 맵핑,77,,GET,/api/me/preferences,명세,O,API어댑터,,,,,,
API 명세 맵핑,78,,PATCH,/api/me/preferences,명세,O,API어댑터,,,,,,
API 명세 맵핑,79,,GET,/api/me/privacy-consents,명세,O,화면연결,,,,,,
API 명세 맵핑,80,,PATCH,/api/me/privacy-consents,명세,O,화면연결,,,,,,
API 명세 맵핑,81,,GET,/api/me/project-rooms,명세,O,API어댑터,,,,,,
API 명세 맵핑,82,◆ memos,,,,,,,,,,,
API 명세 맵핑,83,,GET,/api/memos,추가구현,X,미연결,,,,,,
API 명세 맵핑,84,,POST,/api/memos,추가구현,X,미연결,,,,,,
API 명세 맵핑,85,,DELETE,/api/memos/{id},추가구현,X,미연결,,,,,,
API 명세 맵핑,86,,PATCH,/api/memos/{id},추가구현,X,미연결,,,,,,
API 명세 맵핑,87,◆ notifications,,,,,,,,,,,
API 명세 맵핑,88,,GET,/api/notifications,명세,O,화면연결,,,,,,
API 명세 맵핑,89,,PATCH,/api/notifications/{id}/archive,추가구현,O,화면연결,,,,,,
API 명세 맵핑,90,,PATCH,/api/notifications/{id}/read,명세,O,화면연결,,,,,,
API 명세 맵핑,91,◆ project-rooms,,,,,,,,,,,
API 명세 맵핑,92,,GET,/api/project-rooms,명세,O,화면연결,,,,,,
API 명세 맵핑,93,,POST,/api/project-rooms,명세,O,화면연결,,,,,,
API 명세 맵핑,94,,DELETE,/api/project-rooms/{id},명세,O,API어댑터,,,,,,
API 명세 맵핑,95,,GET,/api/project-rooms/{id},명세,O,화면연결,,,,,,
API 명세 맵핑,96,,PATCH,/api/project-rooms/{id},명세,O,API어댑터,,,,,,
API 명세 맵핑,97,◆ project-rooms/agent,,,,,,,,,,,
API 명세 맵핑,98,,POST,/api/project-rooms/{id}/agent/commands,추가구현,O,API어댑터,,,,,,
API 명세 맵핑,99,,GET,/api/project-rooms/{id}/agent/confirmation-items,추가구현,O,API어댑터,,,,,,
API 명세 맵핑,100,,GET,/api/project-rooms/{id}/agent/suggestions,명세,O,화면연결,,,,,,
API 명세 맵핑,101,◆ project-rooms/ai-documents,,,,,,,,,,,
API 명세 맵핑,102,,GET,/api/project-rooms/{id}/ai-documents,명세,X,미연결,,,,,,
API 명세 맵핑,103,◆ project-rooms/contract-documents,,,,,,,,,,,
API 명세 맵핑,104,,POST,/api/project-rooms/{id}/contract-documents,명세,O,화면연결,,,,,,
API 명세 맵핑,105,◆ project-rooms/events,,,,,,,,,,,
API 명세 맵핑,106,,GET,/api/project-rooms/{id}/events,명세,O,화면연결,,,,,,
API 명세 맵핑,107,◆ project-rooms/generated-documents,,,,,,,,,,,
API 명세 맵핑,108,,GET,/api/project-rooms/{id}/generated-documents,추가구현,O,API어댑터,,,,,,
API 명세 맵핑,109,◆ project-rooms/invitations,,,,,,,,,,,
API 명세 맵핑,110,,GET,/api/project-rooms/{id}/invitations,명세,O,API어댑터,,,,,,
API 명세 맵핑,111,,POST,/api/project-rooms/{id}/invitations,명세,O,화면연결,,,,,,
API 명세 맵핑,112,◆ project-rooms/invite-links,,,,,,,,,,,
API 명세 맵핑,113,,POST,/api/project-rooms/{id}/invite-links,추가구현,X,미연결,,,,,,
API 명세 맵핑,114,◆ project-rooms/members,,,,,,,,,,,
API 명세 맵핑,115,,GET,/api/project-rooms/{id}/members,명세,O,화면연결,,,,,,
API 명세 맵핑,116,,DELETE,/api/project-rooms/{id}/members/{id},명세,O,API어댑터,,,,,,
API 명세 맵핑,117,,PATCH,/api/project-rooms/{id}/members/{id},명세,O,API어댑터,,,,,,
API 명세 맵핑,118,◆ project-rooms/memos,,,,,,,,,,,
API 명세 맵핑,119,,GET,/api/project-rooms/{id}/memos,추가구현,X,미연결,,,,,,
API 명세 맵핑,120,,POST,/api/project-rooms/{id}/memos,추가구현,X,미연결,,,,,,
API 명세 맵핑,121,◆ project-rooms/payment,,,,,,,,,,,
API 명세 맵핑,122,,PATCH,/api/project-rooms/{id}/payment,명세,O,API어댑터,,,,,,
API 명세 맵핑,123,◆ project-rooms/resources,,,,,,,,,,,
API 명세 맵핑,124,,GET,/api/project-rooms/{id}/resources,명세,O,화면연결,,,,,,
API 명세 맵핑,125,◆ project-rooms/tasks,,,,,,,,,,,
API 명세 맵핑,126,,GET,/api/project-rooms/{id}/tasks,명세,O,API어댑터,,,,,,
API 명세 맵핑,127,,POST,/api/project-rooms/{id}/tasks,명세,O,API어댑터,,,,,,
API 명세 맵핑,128,◆ project-rooms/wbs-board,,,,,,,,,,,
API 명세 맵핑,129,,GET,/api/project-rooms/{id}/wbs-board,명세,O,화면연결,,,,,,
API 명세 맵핑,130,◆ project-rooms/wbs-items,,,,,,,,,,,
API 명세 맵핑,131,,GET,/api/project-rooms/{id}/wbs-items,명세,O,화면연결,,,,,,
API 명세 맵핑,132,,POST,/api/project-rooms/{id}/wbs-items,명세,O,화면연결,,,,,,
API 명세 맵핑,133,,PATCH,/api/project-rooms/{id}/wbs-items/reorder,명세,O,화면연결,,,,,,
API 명세 맵핑,134,◆ resource-comments,,,,,,,,,,,
API 명세 맵핑,135,,DELETE,/api/resource-comments/{id},명세,O,API어댑터,,,,,,
API 명세 맵핑,136,,PATCH,/api/resource-comments/{id},명세,O,API어댑터,,,,,,
API 명세 맵핑,137,◆ resources,,,,,,,,,,,
API 명세 맵핑,138,,GET,/api/resources,명세,O,화면연결,,,,,,
API 명세 맵핑,139,,POST,/api/resources,명세,O,화면연결,,,,,,
API 명세 맵핑,140,,DELETE,/api/resources/{id},명세,O,API어댑터,,,,,,
API 명세 맵핑,141,,GET,/api/resources/{id},명세,O,API어댑터,,,,,,
API 명세 맵핑,142,,PATCH,/api/resources/{id},명세,O,API어댑터,,,,,,
API 명세 맵핑,143,,GET,/api/resources/{id}/ai-document,명세,O,API어댑터,,,,,,
API 명세 맵핑,144,,GET,/api/resources/{id}/comments,명세,O,API어댑터,,,,,,
API 명세 맵핑,145,,POST,/api/resources/{id}/comments,명세,O,API어댑터,,,,,,
API 명세 맵핑,146,,GET,/api/resources/{id}/download-url,명세,O,화면연결,,,,,,
API 명세 맵핑,147,,GET,/api/resources/{id}/related,명세,O,API어댑터,,,,,,
API 명세 맵핑,148,,GET,/api/resources/{id}/summary,명세,O,API어댑터,,,,,,
API 명세 맵핑,149,,GET,/api/resources/{id}/versions,명세,O,API어댑터,,,,,,
API 명세 맵핑,150,,POST,/api/resources/{id}/versions,명세,O,API어댑터,,,,,,
API 명세 맵핑,151,◆ schedules,,,,,,,,,,,
API 명세 맵핑,152,,GET,/api/schedules,명세,O,화면연결,,,,,,
API 명세 맵핑,153,,POST,/api/schedules,명세,O,화면연결,,,,,,
API 명세 맵핑,154,,DELETE,/api/schedules/{id},명세,O,API어댑터,,,,,,
API 명세 맵핑,155,,PATCH,/api/schedules/{id},명세,O,API어댑터,,,,,,
API 명세 맵핑,156,◆ storage,,,,,,,,,,,
API 명세 맵핑,157,,GET,/api/storage/usage,명세,O,화면연결,,,,,,
API 명세 맵핑,158,◆ tasks,,,,,,,,,,,
API 명세 맵핑,159,,GET,/api/tasks,명세,O,화면연결,,,,,,
API 명세 맵핑,160,,POST,/api/tasks,명세,O,API어댑터,,,,,,
API 명세 맵핑,161,,DELETE,/api/tasks/{id},명세,O,API어댑터,,,,,,
API 명세 맵핑,162,,PATCH,/api/tasks/{id},명세,O,API어댑터,,,,,,
API 명세 맵핑,163,◆ time-logs,,,,,,,,,,,
API 명세 맵핑,164,,POST,/api/time-logs/start,명세,O,API어댑터,,,,,,
API 명세 맵핑,165,,PATCH,/api/time-logs/{id}/heartbeat,명세,O,API어댑터,,,,,,
API 명세 맵핑,166,,PATCH,/api/time-logs/{id}/pause,명세,O,API어댑터,,,,,,
API 명세 맵핑,167,,PATCH,/api/time-logs/{id}/resume,명세,O,API어댑터,,,,,,
API 명세 맵핑,168,,PATCH,/api/time-logs/{id}/stop,명세,O,API어댑터,,,,,,
API 명세 맵핑,169,◆ voice,,,,,,,,,,,
API 명세 맵핑,170,,POST,/api/voice/rooms,명세,O,화면연결,,,,,,
API 명세 맵핑,171,,GET,/api/voice/rooms/{id},명세,O,API어댑터,,,,,,
API 명세 맵핑,172,,PATCH,/api/voice/rooms/{id}/end,명세,O,API어댑터,,,,,,
API 명세 맵핑,173,,PATCH,/api/voice/rooms/{id}/leave,명세,O,API어댑터,,,,,,
API 명세 맵핑,174,,PATCH,/api/voice/rooms/{id}/mic,추가구현,O,API어댑터,,,,,,
API 명세 맵핑,175,,POST,/api/voice/rooms/{id}/token,명세,O,API어댑터,,,,,,
API 명세 맵핑,176,,POST,/api/voice/webhook/livekit,추가구현,X,미연결,,,,,,
API 명세 맵핑,177,◆ wbs-items,,,,,,,,,,,
API 명세 맵핑,178,,DELETE,/api/wbs-items/{id},명세,O,화면연결,,,,,,
API 명세 맵핑,179,,PATCH,/api/wbs-items/{id},명세,O,화면연결,,,,,,
API 명세 맵핑,180,◆ widget,,,,,,,,,,,
API 명세 맵핑,181,,GET,/api/widget/context,명세,O,화면연결,,,,,,
API 명세 맵핑,182,,PATCH,/api/widget/context,명세,O,화면연결,,,,,,
API 명세 맵핑,183,,PATCH,/api/widget/items/{id}/state,명세,O,API어댑터,,,,,,
API 명세 맵핑,184,,GET,/api/widget/settings,명세,O,화면연결,,,,,,
API 명세 맵핑,185,,PATCH,/api/widget/settings,명세,O,화면연결,,,,,,
API 명세 맵핑,186,,GET,/api/widget/summary,명세,O,화면연결,,,,,,
API 명세 맵핑,187,,POST,/api/widget/usage-summaries,명세,O,화면연결,,,,,,
API 명세 맵핑,188,,GET,/api/widget/usage-summaries/today,명세,O,화면연결,,,,,,
API 명세 맵핑,189,,,,,,,,,,,,
API 명세 맵핑,190,최신 백엔드 기준 정정/주의,,,,,,,,,,,
API 명세 맵핑,191,  - /api/project-rooms/{id}/agent-command는 /api/project-rooms/{roomId}/agent/commands로 정정하고 chatApi에 반영,,,,,,,,,,,
API 명세 맵핑,192,  - /api/project-rooms/{roomId}/memory-summaries는 백엔드 구현 및 chatApi 래퍼 연결됨,,,,,,,,,,,
API 명세 맵핑,193,  - 관리폴더는 Tauri IPC 경계. 서버 API는 POST /api/local-file-events/sync만 사용하고 /api/me/managed-folders·/api/local-files 발명 제거,,,,,,,,,,,
대시보드 카드 후보,1,Bubli 개인 대시보드 카드 후보 · 2026-07-01,,,,,,,,,,,
대시보드 카드 후보,2,참고 자료는 구조만 반영한다. 날씨·오디오·영양·마이크·모바일 원본 구조는 제외한다.,,,,,,,,,,,
대시보드 카드 후보,3,후보,왜 필요한지,들어갈 데이터,API 연결 후보,빈 상태 문구,우선순위,,,,,,
대시보드 카드 후보,4,오늘 활동 링,오늘 처리량을 한 화면에서 압축해서 본다,할 일·일정·확인 필요·실행 중 타이머·활성 버블,"dashboardApi.getWork, widgetApi.getSummary",오늘 표시할 항목이 없습니다,1,,,,,,
대시보드 카드 후보,5,지금 이어 할 일,개인 홈에서 다음 행동을 바로 정한다,"마감 임박 TODO, 실행 중 타이머, 다음 일정","dashboardApi.getWork, todoApi.list",이어 할 일이 없습니다,1,,,,,,
대시보드 카드 후보,6,자주 보는 프로젝트룸,자주 돌아가는 룸으로 빠르게 진입한다,"최근 열람 룸, 진행 중 룸, 오늘 할 일이 있는 룸","projectRoomApi.list, 향후 사용 기록",자주 보는 프로젝트룸이 없습니다,2,,,,,,
대시보드 카드 후보,7,자주 열린 자료,자료보드 진입 전 최근/반복 접근 자료를 짧게 본다,"최근 개인 자료, 최근 룸 자료, 다시 확인한 자료","resourcesApi.listPersonal, listRoomResources",최근에 연 자료가 없습니다,2,,,,,,
대시보드 카드 후보,8,확인 필요 흐름,후보 승인/보류 판단을 놓치지 않는다,"확인할 후보 수, 반복 확인 항목, 보류 후보","agentApi.listSuggestions, listRoomSuggestions",확인할 항목이 없습니다,2,,,,,,
대시보드 카드 후보,9,작업 연속 기록,실제 업무 리듬을 누적 흐름으로 본다,"작업 시작, 일정 처리, 후보 확인, 타이머 사용","activity API, widget usage rollup",아직 누적 기록이 없습니다,3,,,,,,
대시보드 카드 후보,10,버블 사용 요약,Tauri 버블이 실제로 쓰였는지 본다,"열린 횟수, 상호작용 수, 표시 시간, 기기별 요약","widgetApi.getUsageSummariesToday, Tauri rollup",오늘 버블 사용 기록이 없습니다,3,,,,,,
대시보드 카드 후보,11,집중 시간,동의한 경우 작업 앱/창 흐름을 시간으로 요약한다,"활성 앱 이름, 창 제목, 머문 시간","Tauri activity, 향후 서버 activity API",동의 후 표시됩니다,4,,,,,,
API 용도·화면·위젯 맵,1,최신 백엔드 API 용도·화면·위젯 맵 · 2026-07-01,,,,,,,,,,,
API 용도·화면·위젯 맵,2,도메인,메서드,API 경로,용도,해야 할 기능,기획상 붙을 페이지/위젯,프론트 파일/계층,프론트 상태,백엔드 기준,비고,,
API 용도·화면·위젯 맵,3,activity,POST,/api/activity/current-app,동의한 현재 앱 활동 기록과 오늘 활동 조회,Tauri/버블/로컬 런타임,"/app/desktop/widgets, /desktop-widget, /app/settings, Tauri local",activityApi / Tauri activity client,API어댑터,백엔드 구현,프론트 래퍼는 준비됐고 화면 소비/실계정 검증은 후속,,
API 용도·화면·위젯 맵,4,activity,GET,/api/activity/today,동의한 현재 앱 활동 기록과 오늘 활동 조회,Tauri/버블/로컬 런타임,"/app/desktop/widgets, /desktop-widget, /app/settings, Tauri local",activityApi / Tauri activity client,API어댑터,백엔드 구현,프론트 래퍼는 준비됐고 화면 소비/실계정 검증은 후속,,
API 용도·화면·위젯 맵,5,activity,DELETE,/api/activity/{activityId},동의한 현재 앱 활동 기록과 오늘 활동 조회,Tauri/버블/로컬 런타임,"/app/desktop/widgets, /desktop-widget, /app/settings, Tauri local",activityApi / Tauri activity client,API어댑터,백엔드 구현,프론트 래퍼는 준비됐고 화면 소비/실계정 검증은 후속,,
API 용도·화면·위젯 맵,6,agent-jobs,GET,/api/agent-jobs/{jobId},"에이전트 작업 생성, 후보 조회/검토, 확인 항목/확정 요구사항/계약참조",에이전트 후보/생성문서/장기기억,"/app/agent, /app/project-rooms/{roomId}, 에이전트 버블",agentApi,API어댑터,백엔드 구현,프론트 래퍼는 준비됐고 화면 소비/실계정 검증은 후속,,
API 용도·화면·위젯 맵,7,agent-jobs,GET,/api/agent-jobs/{jobId}/events,"에이전트 작업 생성, 후보 조회/검토, 확인 항목/확정 요구사항/계약참조",에이전트 후보/생성문서/장기기억,"/app/agent, /app/project-rooms/{roomId}, 에이전트 버블",agentApi,API어댑터,백엔드 구현,프론트 래퍼는 준비됐고 화면 소비/실계정 검증은 후속,,
API 용도·화면·위젯 맵,8,agent,GET,/api/agent/suggestions,"에이전트 작업 생성, 후보 조회/검토, 확인 항목/확정 요구사항/계약참조",에이전트 후보/생성문서/장기기억,"/app/agent, /app/project-rooms/{roomId}, 에이전트 버블",agentApi,화면연결,백엔드 구현,현재 화면에서 실제 API 우선 사용,,
API 용도·화면·위젯 맵,9,agent,PATCH,/api/agent/suggestions/{suggestionId},"에이전트 작업 생성, 후보 조회/검토, 확인 항목/확정 요구사항/계약참조",에이전트 후보/생성문서/장기기억,"/app/agent, /app/project-rooms/{roomId}, 에이전트 버블",agentApi,화면연결,백엔드 구현,현재 화면에서 실제 API 우선 사용,,
API 용도·화면·위젯 맵,10,ai,POST,/api/ai/analyze-resource,"에이전트 작업 생성, 후보 조회/검토, 확인 항목/확정 요구사항/계약참조",에이전트 후보/생성문서/장기기억,"/app/agent, /app/project-rooms/{roomId}, 에이전트 버블",agentApi,API어댑터,백엔드 구현,프론트 래퍼는 준비됐고 화면 소비/실계정 검증은 후속,,
API 용도·화면·위젯 맵,11,ai,POST,/api/ai/draft-document,"에이전트 작업 생성, 후보 조회/검토, 확인 항목/확정 요구사항/계약참조",에이전트 후보/생성문서/장기기억,"/app/agent, /app/project-rooms/{roomId}, 에이전트 버블",agentApi,API어댑터,백엔드 구현,프론트 래퍼는 준비됐고 화면 소비/실계정 검증은 후속,,
API 용도·화면·위젯 맵,12,ai,POST,/api/ai/generate-questions,"에이전트 작업 생성, 후보 조회/검토, 확인 항목/확정 요구사항/계약참조",에이전트 후보/생성문서/장기기억,"/app/agent, /app/project-rooms/{roomId}, 에이전트 버블",agentApi,API어댑터,백엔드 구현,프론트 래퍼는 준비됐고 화면 소비/실계정 검증은 후속,,
API 용도·화면·위젯 맵,13,ai,POST,/api/ai/generate-requirements,"에이전트 작업 생성, 후보 조회/검토, 확인 항목/확정 요구사항/계약참조",에이전트 후보/생성문서/장기기억,"/app/agent, /app/project-rooms/{roomId}, 에이전트 버블",agentApi,API어댑터,백엔드 구현,프론트 래퍼는 준비됐고 화면 소비/실계정 검증은 후속,,
API 용도·화면·위젯 맵,14,ai,POST,/api/ai/generate-tasks,"에이전트 작업 생성, 후보 조회/검토, 확인 항목/확정 요구사항/계약참조",에이전트 후보/생성문서/장기기억,"/app/agent, /app/project-rooms/{roomId}, 에이전트 버블",agentApi,API어댑터,백엔드 구현,프론트 래퍼는 준비됐고 화면 소비/실계정 검증은 후속,,
API 용도·화면·위젯 맵,15,ai,POST,/api/ai/generate-wbs,"에이전트 작업 생성, 후보 조회/검토, 확인 항목/확정 요구사항/계약참조",에이전트 후보/생성문서/장기기억,"/app/agent, /app/project-rooms/{roomId}, 에이전트 버블",agentApi,API어댑터,백엔드 구현,프론트 래퍼는 준비됐고 화면 소비/실계정 검증은 후속,,
API 용도·화면·위젯 맵,16,ai,POST,/api/ai/review-contract-documents,"에이전트 작업 생성, 후보 조회/검토, 확인 항목/확정 요구사항/계약참조",에이전트 후보/생성문서/장기기억,"/app/agent, /app/project-rooms/{roomId}, 에이전트 버블",agentApi,API어댑터,백엔드 구현,프론트 래퍼는 준비됐고 화면 소비/실계정 검증은 후속,,
API 용도·화면·위젯 맵,17,ai,POST,/api/ai/search-resource,"에이전트 작업 생성, 후보 조회/검토, 확인 항목/확정 요구사항/계약참조",에이전트 후보/생성문서/장기기억,"/app/agent, /app/project-rooms/{roomId}, 에이전트 버블",agentApi,API어댑터,백엔드 구현,프론트 래퍼는 준비됐고 화면 소비/실계정 검증은 후속,,
API 용도·화면·위젯 맵,18,ai,POST,/api/ai/summarize-day,"에이전트 작업 생성, 후보 조회/검토, 확인 항목/확정 요구사항/계약참조",에이전트 후보/생성문서/장기기억,"/app/agent, /app/project-rooms/{roomId}, 에이전트 버블",agentApi,API어댑터,백엔드 구현,프론트 래퍼는 준비됐고 화면 소비/실계정 검증은 후속,,
API 용도·화면·위젯 맵,19,auth,GET,/api/auth/google/authorize,"Google OAuth 로그인, 토큰 갱신, 로그아웃",로그인 사용자/상단바/설정,"/login, /auth/callback, /app 상단바, /app/settings",authApi,API어댑터,백엔드 구현,프론트 래퍼는 준비됐고 화면 소비/실계정 검증은 후속,,
API 용도·화면·위젯 맵,20,auth,POST,/api/auth/google/callback,"Google OAuth 로그인, 토큰 갱신, 로그아웃",로그인 사용자/상단바/설정,"/login, /auth/callback, /app 상단바, /app/settings",authApi,API어댑터,백엔드 구현,프론트 래퍼는 준비됐고 화면 소비/실계정 검증은 후속,,
API 용도·화면·위젯 맵,21,auth,POST,/api/auth/logout,"Google OAuth 로그인, 토큰 갱신, 로그아웃",로그인 사용자/상단바/설정,"/login, /auth/callback, /app 상단바, /app/settings",authApi,API어댑터,백엔드 구현,프론트 래퍼는 준비됐고 화면 소비/실계정 검증은 후속,,
API 용도·화면·위젯 맵,22,auth,POST,/api/auth/refresh,"Google OAuth 로그인, 토큰 갱신, 로그아웃",로그인 사용자/상단바/설정,"/login, /auth/callback, /app 상단바, /app/settings",authApi,API어댑터,백엔드 구현,프론트 래퍼는 준비됐고 화면 소비/실계정 검증은 후속,,
API 용도·화면·위젯 맵,23,calendar,GET,/api/calendar/events,"일정 CRUD, 룸 이벤트 스트림, Google Calendar 연결/동기화",일정/Google Calendar,"/app/calendar, /app/project-rooms/{roomId}, 일정 버블",calendarApi,API어댑터,백엔드 구현,프론트 래퍼는 준비됐고 화면 소비/실계정 검증은 후속,,
API 용도·화면·위젯 맵,24,calendar,POST,/api/calendar/events,"일정 CRUD, 룸 이벤트 스트림, Google Calendar 연결/동기화",일정/Google Calendar,"/app/calendar, /app/project-rooms/{roomId}, 일정 버블",calendarApi,API어댑터,백엔드 구현,프론트 래퍼는 준비됐고 화면 소비/실계정 검증은 후속,,
API 용도·화면·위젯 맵,25,calendar,DELETE,/api/calendar/events/{scheduleId},"일정 CRUD, 룸 이벤트 스트림, Google Calendar 연결/동기화",일정/Google Calendar,"/app/calendar, /app/project-rooms/{roomId}, 일정 버블",calendarApi,API어댑터,백엔드 구현,프론트 래퍼는 준비됐고 화면 소비/실계정 검증은 후속,,
API 용도·화면·위젯 맵,26,calendar,PATCH,/api/calendar/events/{scheduleId},"일정 CRUD, 룸 이벤트 스트림, Google Calendar 연결/동기화",일정/Google Calendar,"/app/calendar, /app/project-rooms/{roomId}, 일정 버블",calendarApi,API어댑터,백엔드 구현,프론트 래퍼는 준비됐고 화면 소비/실계정 검증은 후속,,
API 용도·화면·위젯 맵,27,calendar,POST,/api/calendar/google/callback,"일정 CRUD, 룸 이벤트 스트림, Google Calendar 연결/동기화",일정/Google Calendar,"/app/calendar, /app/project-rooms/{roomId}, 일정 버블",calendarApi,API어댑터,백엔드 구현,프론트 래퍼는 준비됐고 화면 소비/실계정 검증은 후속,,
API 용도·화면·위젯 맵,28,calendar,GET,/api/calendar/google/connect,"일정 CRUD, 룸 이벤트 스트림, Google Calendar 연결/동기화",일정/Google Calendar,"/app/calendar, /app/project-rooms/{roomId}, 일정 버블",calendarApi,화면연결,백엔드 구현,현재 /app/calendar에서 실제 API 액션으로 사용. 실계정 OAuth 왕복은 후속 검증.,,
